order_id,consumer_id,farmer_id,crop,distance_km,quantity_kg,local_emissions_kg_co2,baseline_emissions_kg_co2,emissions_saved_kg_co2,pct_reduction_vs_baseline,sustainability_score
ORD-000612,CONS-0119,FARM-0143,Methi,17.8,1,0.0021,0.104,0.1019,98.0,98.0
ORD-000613,CONS-0575,FARM-0107,Tomato,13.1,1,0.0016,0.104,0.1024,98.5,98.5
ORD-000614,CONS-0673,FARM-0120,Methi,13.9,6,0.01,0.624,0.614,98.4,98.4
ORD-000615,CONS-0592,FARM-0039,Brinjal,2.4,1,0.0003,0.104,0.1037,99.7,99.7
ORD-000616,CONS-0113,FARM-0119,Tomato,7.3,2,0.0018,0.208,0.2062,99.1,99.1
ORD-000617,CONS-0525,FARM-0037,Tomato,10.0,7,0.0084,0.728,0.7196,98.8,98.8
ORD-000618,CONS-0457,FARM-0052,Methi,2.9,8,0.0028,0.832,0.8292,99.7,99.7
ORD-000619,CONS-0242,FARM-0104,Potato,10.2,3,0.0037,0.312,0.3083,98.8,98.8
ORD-000620,CONS-0437,FARM-0144,Brinjal,16.4,7,0.0138,0.728,0.7142,98.1,98.1
ORD-000621,CONS-0248,FARM-0128,Brinjal,18.8,1,0.0023,0.104,0.1017,97.8,97.8
ORD-000622,CONS-0229,FARM-0086,Tomato,4.5,3,0.0016,0.312,0.3104,99.5,99.5
ORD-000623,CONS-0689,FARM-0097,Tomato,12.6,2,0.003,0.208,0.205,98.6,98.6
ORD-000624,CONS-0104,FARM-0116,Tomato,6.8,1,0.0008,0.104,0.1032,99.2,99.2
ORD-000625,CONS-0603,FARM-0117,Elephant Yam (Suran),1.9,3,0.0007,0.312,0.3113,99.8,99.8
ORD-000626,CONS-0459,FARM-0093,Brinjal,2.9,6,0.0021,0.624,0.6219,99.7,99.7
ORD-000627,CONS-0188,FARM-0006,Green Chilli,11.6,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000628,CONS-0744,FARM-0010,Onion,16.6,5,0.01,0.52,0.51,98.1,98.1
ORD-000629,CONS-0342,FARM-0067,Tomato,10.5,1,0.0013,0.104,0.1027,98.8,98.8
ORD-000630,CONS-0524,FARM-0005,Elephant Yam (Suran),10.5,7,0.0088,0.728,0.7192,98.8,98.8
ORD-000631,CONS-0423,FARM-0088,Brinjal,16.2,5,0.0097,0.52,0.5103,98.1,98.1
ORD-000632,CONS-0031,FARM-0142,Methi,10.6,3,0.0038,0.312,0.3082,98.8,98.8
ORD-000633,CONS-0664,FARM-0144,Brinjal,6.3,2,0.0015,0.208,0.2065,99.3,99.3
ORD-000634,CONS-0011,FARM-0127,Peas,1.9,9,0.0021,0.936,0.9339,99.8,99.8
ORD-000635,CONS-0025,FARM-0109,Brinjal,12.2,8,0.0117,0.832,0.8203,98.6,98.6
ORD-000636,CONS-0377,FARM-0106,Methi,12.2,1,0.0015,0.104,0.1025,98.6,98.6
ORD-000637,CONS-0719,FARM-0006,Methi,10.5,6,0.0076,0.624,0.6164,98.8,98.8
ORD-000638,CONS-0267,FARM-0014,Green Chilli,23.6,3,0.0085,0.312,0.3035,97.3,97.3
ORD-000639,CONS-0642,FARM-0127,Tomato,3.9,2,0.0009,0.208,0.2071,99.6,99.6
ORD-000640,CONS-0214,FARM-0040,Methi,14.3,4,0.0069,0.416,0.4091,98.3,98.3
ORD-000641,CONS-0168,FARM-0068,Elephant Yam (Suran),14.7,4,0.0071,0.416,0.4089,98.3,98.3
ORD-000642,CONS-0767,FARM-0016,Methi,17.6,7,0.0148,0.728,0.7132,98.0,98.0
ORD-000643,CONS-0748,FARM-0119,Tomato,15.1,3,0.0054,0.312,0.3066,98.3,98.3
ORD-000644,CONS-0237,FARM-0002,Methi,9.0,6,0.0065,0.624,0.6175,99.0,99.0
ORD-000645,CONS-0472,FARM-0046,Methi,18.7,1,0.0022,0.104,0.1018,97.9,97.9
ORD-000646,CONS-0118,FARM-0127,Tomato,8.6,7,0.0072,0.728,0.7208,99.0,99.0
ORD-000647,CONS-0129,FARM-0106,Methi,7.7,8,0.0074,0.832,0.8246,99.1,99.1
ORD-000648,CONS-0151,FARM-0033,Tomato,10.5,6,0.0076,0.624,0.6164,98.8,98.8
ORD-000649,CONS-0433,FARM-0111,Methi,4.4,9,0.0048,0.936,0.9312,99.5,99.5
ORD-000650,CONS-0558,FARM-0072,Methi,27.3,5,0.0164,0.52,0.5036,96.8,96.8
ORD-000651,CONS-0251,FARM-0135,Potato,15.1,2,0.0036,0.208,0.2044,98.3,98.3
ORD-000652,CONS-0538,FARM-0106,Tomato,13.4,8,0.0129,0.832,0.8191,98.4,98.4
ORD-000653,CONS-0568,FARM-0135,Onion,15.3,1,0.0018,0.104,0.1022,98.3,98.3
ORD-000654,CONS-0416,FARM-0117,Brinjal,4.5,1,0.0005,0.104,0.1035,99.5,99.5
ORD-000655,CONS-0647,FARM-0103,Green Chilli,24.7,6,0.0178,0.624,0.6062,97.1,97.1
ORD-000656,CONS-0357,FARM-0068,Elephant Yam (Suran),15.6,1,0.0019,0.104,0.1021,98.2,98.2
ORD-000657,CONS-0728,FARM-0102,Onion,13.3,9,0.0144,0.936,0.9216,98.5,98.5
ORD-000658,CONS-0115,FARM-0093,Tomato,12.8,4,0.0061,0.416,0.4099,98.5,98.5
ORD-000659,CONS-0447,FARM-0031,Elephant Yam (Suran),12.0,3,0.0043,0.312,0.3077,98.6,98.6
ORD-000660,CONS-0340,FARM-0019,Brinjal,5.2,6,0.0037,0.624,0.6203,99.4,99.4
ORD-000661,CONS-0253,FARM-0148,Methi,9.8,9,0.0106,0.936,0.9254,98.9,98.9
ORD-000662,CONS-0204,FARM-0134,Bhindi (Ladies finger),6.7,1,0.0008,0.104,0.1032,99.2,99.2
ORD-000663,CONS-0096,FARM-0126,Potato,8.0,5,0.0048,0.52,0.5152,99.1,99.1
ORD-000664,CONS-0507,FARM-0021,Green Chilli,2.8,7,0.0024,0.728,0.7256,99.7,99.7
ORD-000665,CONS-0298,FARM-0002,Methi,13.2,1,0.0016,0.104,0.1024,98.5,98.5
ORD-000666,CONS-0276,FARM-0005,Elephant Yam (Suran),5.0,6,0.0036,0.624,0.6204,99.4,99.4
ORD-000667,CONS-0439,FARM-0125,Elephant Yam (Suran),13.5,4,0.0065,0.416,0.4095,98.4,98.4
ORD-000668,CONS-0373,FARM-0061,Methi,19.3,9,0.0208,0.936,0.9152,97.8,97.8
ORD-000669,CONS-0696,FARM-0045,Potato,8.8,6,0.0063,0.624,0.6177,99.0,99.0
ORD-000670,CONS-0336,FARM-0119,Onion,5.3,5,0.0032,0.52,0.5168,99.4,99.4
ORD-000671,CONS-0788,FARM-0111,Methi,4.3,7,0.0036,0.728,0.7244,99.5,99.5
ORD-000672,CONS-0210,FARM-0111,Methi,0.4,3,0.0001,0.312,0.3119,100.0,100.0
ORD-000673,CONS-0275,FARM-0145,Brinjal,16.6,2,0.004,0.208,0.204,98.1,98.1
ORD-000674,CONS-0570,FARM-0022,Methi,17.4,6,0.0125,0.624,0.6115,98.0,98.0
ORD-000675,CONS-0652,FARM-0039,Brinjal,12.6,1,0.0015,0.104,0.1025,98.6,98.6
ORD-000676,CONS-0115,FARM-0088,Elephant Yam (Suran),22.7,4,0.0109,0.416,0.4051,97.4,97.4
ORD-000677,CONS-0587,FARM-0056,Bhindi (Ladies finger),4.6,7,0.0039,0.728,0.7241,99.5,99.5
ORD-000678,CONS-0571,FARM-0107,Potato,8.3,1,0.001,0.104,0.103,99.0,99.0
ORD-000679,CONS-0726,FARM-0117,Elephant Yam (Suran),3.4,3,0.0012,0.312,0.3108,99.6,99.6
ORD-000680,CONS-0363,FARM-0062,Elephant Yam (Suran),2.3,3,0.0008,0.312,0.3112,99.7,99.7
ORD-000681,CONS-0329,FARM-0067,Methi,5.9,9,0.0064,0.936,0.9296,99.3,99.3
ORD-000682,CONS-0277,FARM-0045,Potato,7.5,8,0.0072,0.832,0.8248,99.1,99.1
ORD-000683,CONS-0303,FARM-0041,Onion,7.2,2,0.0017,0.208,0.2063,99.2,99.2
ORD-000684,CONS-0114,FARM-0093,Tomato,4.4,5,0.0026,0.52,0.5174,99.5,99.5
ORD-000685,CONS-0297,FARM-0102,Onion,17.1,5,0.0103,0.52,0.5097,98.0,98.0
ORD-000686,CONS-0416,FARM-0062,Brinjal,1.3,6,0.0009,0.624,0.6231,99.9,99.9
ORD-000687,CONS-0678,FARM-0045,Potato,9.0,5,0.0054,0.52,0.5146,99.0,99.0
ORD-000688,CONS-0491,FARM-0113,Brinjal,20.1,3,0.0072,0.312,0.3048,97.7,97.7
ORD-000689,CONS-0481,FARM-0052,Methi,3.5,9,0.0038,0.936,0.9322,99.6,99.6
ORD-000690,CONS-0745,FARM-0119,Tomato,8.6,7,0.0072,0.728,0.7208,99.0,99.0
ORD-000691,CONS-0716,FARM-0132,Methi,11.4,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000692,CONS-0207,FARM-0128,Methi,9.9,3,0.0036,0.312,0.3084,98.8,98.8
ORD-000693,CONS-0776,FARM-0010,Methi,14.4,8,0.0138,0.832,0.8182,98.3,98.3
ORD-000694,CONS-0588,FARM-0056,Bhindi (Ladies finger),2.0,7,0.0017,0.728,0.7263,99.8,99.8
ORD-000695,CONS-0357,FARM-0017,Methi,9.5,8,0.0091,0.832,0.8229,98.9,98.9
ORD-000696,CONS-0714,FARM-0110,Green Chilli,14.4,4,0.0069,0.416,0.4091,98.3,98.3
ORD-000697,CONS-0270,FARM-0016,Methi,18.1,9,0.0195,0.936,0.9165,97.9,97.9
ORD-000698,CONS-0249,FARM-0133,Potato,7.6,5,0.0046,0.52,0.5154,99.1,99.1
ORD-000699,CONS-0445,FARM-0015,Methi,9.7,5,0.0058,0.52,0.5142,98.9,98.9
ORD-000700,CONS-0671,FARM-0109,Methi,10.2,8,0.0098,0.832,0.8222,98.8,98.8
ORD-000701,CONS-0398,FARM-0119,Onion,7.9,2,0.0019,0.208,0.2061,99.1,99.1
ORD-000702,CONS-0709,FARM-0017,Bhindi (Ladies finger),8.2,6,0.0059,0.624,0.6181,99.1,99.1
ORD-000703,CONS-0058,FARM-0119,Tomato,2.4,6,0.0017,0.624,0.6223,99.7,99.7
ORD-000704,CONS-0239,FARM-0019,Brinjal,10.8,2,0.0026,0.208,0.2054,98.8,98.8
ORD-000705,CONS-0506,FARM-0037,Tomato,5.8,2,0.0014,0.208,0.2066,99.3,99.3
ORD-000706,CONS-0038,FARM-0017,Methi,2.3,4,0.0011,0.416,0.4149,99.7,99.7
ORD-000707,CONS-0378,FARM-0111,Methi,8.1,3,0.0029,0.312,0.3091,99.1,99.1
ORD-000708,CONS-0381,FARM-0029,Bhindi (Ladies finger),5.3,4,0.0025,0.416,0.4135,99.4,99.4
ORD-000709,CONS-0388,FARM-0115,Peas,8.5,2,0.002,0.208,0.206,99.0,99.0
ORD-000710,CONS-0280,FARM-0045,Potato,5.4,5,0.0032,0.52,0.5168,99.4,99.4
ORD-000711,CONS-0640,FARM-0005,Elephant Yam (Suran),3.7,1,0.0004,0.104,0.1036,99.6,99.6
ORD-000712,CONS-0008,FARM-0096,Brinjal,6.9,4,0.0033,0.416,0.4127,99.2,99.2
ORD-000713,CONS-0333,FARM-0123,Methi,8.2,2,0.002,0.208,0.206,99.0,99.0
ORD-000714,CONS-0398,FARM-0093,Methi,8.0,8,0.0077,0.832,0.8243,99.1,99.1
ORD-000715,CONS-0499,FARM-0110,Green Chilli,6.8,3,0.0024,0.312,0.3096,99.2,99.2
ORD-000716,CONS-0773,FARM-0064,Tomato,10.7,4,0.0051,0.416,0.4109,98.8,98.8
ORD-000717,CONS-0091,FARM-0137,Bhindi (Ladies finger),5.1,1,0.0006,0.104,0.1034,99.4,99.4
ORD-000718,CONS-0169,FARM-0111,Methi,7.5,2,0.0018,0.208,0.2062,99.1,99.1
ORD-000719,CONS-0625,FARM-0127,Tomato,7.8,7,0.0066,0.728,0.7214,99.1,99.1
ORD-000720,CONS-0669,FARM-0052,Methi,8.9,4,0.0043,0.416,0.4117,99.0,99.0
ORD-000721,CONS-0176,FARM-0119,Tomato,6.7,2,0.0016,0.208,0.2064,99.2,99.2
ORD-000722,CONS-0550,FARM-0052,Methi,4.7,6,0.0034,0.624,0.6206,99.5,99.5
ORD-000723,CONS-0535,FARM-0053,Methi,11.6,7,0.0097,0.728,0.7183,98.7,98.7
ORD-000724,CONS-0009,FARM-0142,Bhindi (Ladies finger),4.5,4,0.0022,0.416,0.4138,99.5,99.5
ORD-000725,CONS-0181,FARM-0125,Elephant Yam (Suran),4.3,2,0.001,0.208,0.207,99.5,99.5
ORD-000726,CONS-0457,FARM-0041,Onion,13.2,1,0.0016,0.104,0.1024,98.5,98.5
ORD-000727,CONS-0183,FARM-0093,Tomato,6.1,5,0.0037,0.52,0.5163,99.3,99.3
ORD-000728,CONS-0169,FARM-0006,Methi,13.0,5,0.0078,0.52,0.5122,98.5,98.5
ORD-000729,CONS-0778,FARM-0135,Potato,15.4,1,0.0018,0.104,0.1022,98.3,98.3
ORD-000730,CONS-0152,FARM-0126,Potato,17.2,1,0.0021,0.104,0.1019,98.0,98.0
ORD-000731,CONS-0243,FARM-0133,Potato,4.4,8,0.0042,0.832,0.8278,99.5,99.5
ORD-000732,CONS-0715,FARM-0046,Methi,18.2,2,0.0044,0.208,0.2036,97.9,97.9
ORD-000733,CONS-0289,FARM-0120,Methi,13.0,3,0.0047,0.312,0.3073,98.5,98.5
ORD-000734,CONS-0227,FARM-0127,Peas,8.0,2,0.0019,0.208,0.2061,99.1,99.1
ORD-000735,CONS-0318,FARM-0097,Tomato,4.1,1,0.0005,0.104,0.1035,99.5,99.5
ORD-000736,CONS-0561,FARM-0142,Methi,4.3,7,0.0036,0.728,0.7244,99.5,99.5
ORD-000737,CONS-0104,FARM-0102,Onion,7.9,2,0.0019,0.208,0.2061,99.1,99.1
ORD-000738,CONS-0072,FARM-0119,Tomato,9.0,6,0.0065,0.624,0.6175,99.0,99.0
ORD-000739,CONS-0248,FARM-0036,Elephant Yam (Suran),28.8,5,0.0173,0.52,0.5027,96.7,96.7
ORD-000740,CONS-0562,FARM-0080,Bhindi (Ladies finger),6.5,3,0.0023,0.312,0.3097,99.3,99.3
ORD-000741,CONS-0779,FARM-0007,Methi,7.9,2,0.0019,0.208,0.2061,99.1,99.1
ORD-000742,CONS-0384,FARM-0039,Brinjal,4.4,4,0.0021,0.416,0.4139,99.5,99.5
ORD-000743,CONS-0619,FARM-0027,Tomato,5.3,3,0.0019,0.312,0.3101,99.4,99.4
ORD-000744,CONS-0408,FARM-0062,Brinjal,2.2,3,0.0008,0.312,0.3112,99.7,99.7
ORD-000745,CONS-0683,FARM-0117,Elephant Yam (Suran),4.0,8,0.0038,0.832,0.8282,99.5,99.5
ORD-000746,CONS-0359,FARM-0006,Methi,17.1,4,0.0082,0.416,0.4078,98.0,98.0
ORD-000747,CONS-0455,FARM-0007,Methi,9.4,1,0.0011,0.104,0.1029,98.9,98.9
ORD-000748,CONS-0086,FARM-0116,Methi,19.2,4,0.0092,0.416,0.4068,97.8,97.8
ORD-000749,CONS-0419,FARM-0021,Green Chilli,1.1,2,0.0003,0.208,0.2077,99.9,99.9
ORD-000750,CONS-0488,FARM-0052,Methi,3.5,4,0.0017,0.416,0.4143,99.6,99.6
ORD-000751,CONS-0614,FARM-0024,Onion,19.9,9,0.0215,0.936,0.9145,97.7,97.7
ORD-000752,CONS-0113,FARM-0093,Tomato,8.5,5,0.0051,0.52,0.5149,99.0,99.0
ORD-000753,CONS-0212,FARM-0125,Elephant Yam (Suran),1.2,3,0.0004,0.312,0.3116,99.9,99.9
ORD-000754,CONS-0799,FARM-0108,Brinjal,13.0,7,0.0109,0.728,0.7171,98.5,98.5
ORD-000755,CONS-0484,FARM-0006,Potato,13.3,5,0.008,0.52,0.512,98.5,98.5
ORD-000756,CONS-0251,FARM-0133,Potato,4.4,4,0.0021,0.416,0.4139,99.5,99.5
ORD-000757,CONS-0689,FARM-0135,Potato,8.2,4,0.0039,0.416,0.4121,99.1,99.1
ORD-000758,CONS-0606,FARM-0067,Tomato,11.5,4,0.0055,0.416,0.4105,98.7,98.7
ORD-000759,CONS-0008,FARM-0123,Methi,10.6,9,0.0114,0.936,0.9246,98.8,98.8
ORD-000760,CONS-0711,FARM-0015,Methi,12.3,9,0.0133,0.936,0.9227,98.6,98.6
ORD-000761,CONS-0066,FARM-0008,Brinjal,12.8,2,0.0031,0.208,0.2049,98.5,98.5
ORD-000762,CONS-0126,FARM-0116,Tomato,21.8,2,0.0052,0.208,0.2028,97.5,97.5
ORD-000763,CONS-0714,FARM-0025,Tomato,5.5,6,0.004,0.624,0.62,99.4,99.4
ORD-000764,CONS-0414,FARM-0114,Tomato,17.6,1,0.0021,0.104,0.1019,98.0,98.0
ORD-000765,CONS-0060,FARM-0044,Elephant Yam (Suran),11.8,4,0.0057,0.416,0.4103,98.6,98.6
ORD-000766,CONS-0329,FARM-0088,Brinjal,4.7,8,0.0045,0.832,0.8275,99.5,99.5
ORD-000767,CONS-0521,FARM-0006,Methi,16.0,7,0.0134,0.728,0.7146,98.2,98.2
ORD-000768,CONS-0350,FARM-0060,Methi,14.1,6,0.0102,0.624,0.6138,98.4,98.4
ORD-000769,CONS-0577,FARM-0134,Bhindi (Ladies finger),5.9,2,0.0014,0.208,0.2066,99.3,99.3
ORD-000770,CONS-0570,FARM-0022,Methi,17.4,6,0.0125,0.624,0.6115,98.0,98.0
ORD-000771,CONS-0145,FARM-0046,Peas,13.3,8,0.0128,0.832,0.8192,98.5,98.5
ORD-000772,CONS-0643,FARM-0062,Brinjal,6.6,4,0.0032,0.416,0.4128,99.2,99.2
ORD-000773,CONS-0669,FARM-0061,Elephant Yam (Suran),12.2,8,0.0117,0.832,0.8203,98.6,98.6
ORD-000774,CONS-0396,FARM-0126,Potato,11.5,5,0.0069,0.52,0.5131,98.7,98.7
ORD-000775,CONS-0603,FARM-0121,Potato,12.3,2,0.003,0.208,0.205,98.6,98.6
ORD-000776,CONS-0540,FARM-0044,Elephant Yam (Suran),19.9,2,0.0048,0.208,0.2032,97.7,97.7
ORD-000777,CONS-0191,FARM-0141,Methi,16.7,1,0.002,0.104,0.102,98.1,98.1
ORD-000778,CONS-0481,FARM-0052,Methi,3.5,1,0.0004,0.104,0.1036,99.6,99.6
ORD-000779,CONS-0458,FARM-0052,Methi,8.0,1,0.001,0.104,0.103,99.0,99.0
ORD-000780,CONS-0076,FARM-0137,Bhindi (Ladies finger),7.9,2,0.0019,0.208,0.2061,99.1,99.1
ORD-000781,CONS-0195,FARM-0007,Methi,2.1,7,0.0018,0.728,0.7262,99.8,99.8
ORD-000782,CONS-0275,FARM-0104,Potato,5.8,9,0.0063,0.936,0.9297,99.3,99.3
ORD-000783,CONS-0152,FARM-0107,Potato,5.1,6,0.0037,0.624,0.6203,99.4,99.4
ORD-000784,CONS-0526,FARM-0088,Elephant Yam (Suran),8.5,3,0.0031,0.312,0.3089,99.0,99.0
ORD-000785,CONS-0305,FARM-0017,Methi,10.1,1,0.0012,0.104,0.1028,98.8,98.8
ORD-000786,CONS-0540,FARM-0110,Green Chilli,8.4,1,0.001,0.104,0.103,99.0,99.0
ORD-000787,CONS-0683,FARM-0142,Bhindi (Ladies finger),6.3,9,0.0068,0.936,0.9292,99.3,99.3
ORD-000788,CONS-0260,FARM-0062,Brinjal,1.8,1,0.0002,0.104,0.1038,99.8,99.8
ORD-000789,CONS-0317,FARM-0062,Brinjal,5.7,1,0.0007,0.104,0.1033,99.3,99.3
ORD-000790,CONS-0238,FARM-0018,Onion,15.3,9,0.0165,0.936,0.9195,98.2,98.2
ORD-000791,CONS-0646,FARM-0046,Methi,18.1,3,0.0065,0.312,0.3055,97.9,97.9
ORD-000792,CONS-0531,FARM-0007,Methi,8.7,2,0.0021,0.208,0.2059,99.0,99.0
ORD-000793,CONS-0251,FARM-0021,Bhindi (Ladies finger),1.7,3,0.0006,0.312,0.3114,99.8,99.8
ORD-000794,CONS-0707,FARM-0016,Brinjal,8.6,1,0.001,0.104,0.103,99.0,99.0
ORD-000795,CONS-0720,FARM-0128,Methi,13.8,3,0.005,0.312,0.307,98.4,98.4
ORD-000796,CONS-0417,FARM-0125,Elephant Yam (Suran),6.4,5,0.0038,0.52,0.5162,99.3,99.3
ORD-000797,CONS-0303,FARM-0066,Potato,9.2,9,0.0099,0.936,0.9261,98.9,98.9
ORD-000798,CONS-0599,FARM-0068,Elephant Yam (Suran),17.8,7,0.015,0.728,0.713,97.9,97.9
ORD-000799,CONS-0775,FARM-0056,Peas,14.5,3,0.0052,0.312,0.3068,98.3,98.3
ORD-000800,CONS-0305,FARM-0005,Onion,7.3,1,0.0009,0.104,0.1031,99.1,99.1
ORD-000801,CONS-0564,FARM-0021,Bhindi (Ladies finger),5.1,9,0.0055,0.936,0.9305,99.4,99.4
ORD-000802,CONS-0519,FARM-0107,Elephant Yam (Suran),1.4,9,0.0015,0.936,0.9345,99.8,99.8
ORD-000803,CONS-0556,FARM-0142,Methi,6.4,3,0.0023,0.312,0.3097,99.3,99.3
ORD-000804,CONS-0463,FARM-0119,Tomato,11.2,2,0.0027,0.208,0.2053,98.7,98.7
ORD-000805,CONS-0606,FARM-0086,Tomato,3.0,1,0.0004,0.104,0.1036,99.6,99.6
ORD-000806,CONS-0195,FARM-0097,Tomato,7.4,8,0.0071,0.832,0.8249,99.1,99.1
ORD-000807,CONS-0414,FARM-0122,Onion,17.5,9,0.0189,0.936,0.9171,98.0,98.0
ORD-000808,CONS-0143,FARM-0126,Potato,13.6,2,0.0033,0.208,0.2047,98.4,98.4
ORD-000809,CONS-0390,FARM-0083,Elephant Yam (Suran),16.4,8,0.0157,0.832,0.8163,98.1,98.1
ORD-000810,CONS-0799,FARM-0068,Elephant Yam (Suran),15.6,7,0.0131,0.728,0.7149,98.2,98.2
ORD-000811,CONS-0646,FARM-0138,Methi,18.6,1,0.0022,0.104,0.1018,97.9,97.9
ORD-000812,CONS-0271,FARM-0142,Bhindi (Ladies finger),3.8,9,0.0041,0.936,0.9319,99.6,99.6
ORD-000813,CONS-0618,FARM-0139,Brinjal,23.4,1,0.0028,0.104,0.1012,97.3,97.3
ORD-000814,CONS-0456,FARM-0051,Brinjal,12.3,6,0.0089,0.624,0.6151,98.6,98.6
ORD-000815,CONS-0325,FARM-0015,Methi,13.1,1,0.0016,0.104,0.1024,98.5,98.5
ORD-000816,CONS-0513,FARM-0016,Methi,9.8,3,0.0035,0.312,0.3085,98.9,98.9
ORD-000817,CONS-0404,FARM-0040,Methi,12.9,3,0.0046,0.312,0.3074,98.5,98.5
ORD-000818,CONS-0597,FARM-0107,Potato,9.5,4,0.0046,0.416,0.4114,98.9,98.9
ORD-000819,CONS-0363,FARM-0074,Methi,3.8,4,0.0018,0.416,0.4142,99.6,99.6
ORD-000820,CONS-0125,FARM-0033,Tomato,9.0,7,0.0076,0.728,0.7204,99.0,99.0
ORD-000821,CONS-0067,FARM-0128,Methi,15.1,7,0.0127,0.728,0.7153,98.3,98.3
ORD-000822,CONS-0446,FARM-0148,Methi,18.8,4,0.009,0.416,0.407,97.8,97.8
ORD-000823,CONS-0630,FARM-0105,Onion,5.2,1,0.0006,0.104,0.1034,99.4,99.4
ORD-000824,CONS-0450,FARM-0133,Potato,12.7,6,0.0091,0.624,0.6149,98.5,98.5
ORD-000825,CONS-0054,FARM-0017,Methi,4.5,3,0.0016,0.312,0.3104,99.5,99.5
ORD-000826,CONS-0030,FARM-0018,Onion,9.8,9,0.0106,0.936,0.9254,98.9,98.9
ORD-000827,CONS-0364,FARM-0015,Methi,10.4,2,0.0025,0.208,0.2055,98.8,98.8
ORD-000828,CONS-0288,FARM-0000,Tomato,19.0,5,0.0114,0.52,0.5086,97.8,97.8
ORD-000829,CONS-0146,FARM-0022,Methi,13.0,6,0.0094,0.624,0.6146,98.5,98.5
ORD-000830,CONS-0537,FARM-0037,Tomato,10.8,9,0.0117,0.936,0.9243,98.8,98.8
ORD-000831,CONS-0164,FARM-0109,Brinjal,2.5,2,0.0006,0.208,0.2074,99.7,99.7
ORD-000832,CONS-0422,FARM-0107,Potato,9.7,6,0.007,0.624,0.617,98.9,98.9
ORD-000833,CONS-0007,FARM-0109,Methi,3.7,2,0.0009,0.208,0.2071,99.6,99.6
ORD-000834,CONS-0082,FARM-0116,Methi,15.0,5,0.009,0.52,0.511,98.3,98.3
ORD-000835,CONS-0494,FARM-0133,Potato,5.0,1,0.0006,0.104,0.1034,99.4,99.4
ORD-000836,CONS-0588,FARM-0110,Peas,5.1,2,0.0012,0.208,0.2068,99.4,99.4
ORD-000837,CONS-0297,FARM-0110,Tomato,7.2,2,0.0017,0.208,0.2063,99.2,99.2
ORD-000838,CONS-0355,FARM-0042,Potato,10.5,3,0.0038,0.312,0.3082,98.8,98.8
ORD-000839,CONS-0036,FARM-0107,Tomato,8.7,1,0.001,0.104,0.103,99.0,99.0
ORD-000840,CONS-0458,FARM-0126,Potato,5.9,9,0.0064,0.936,0.9296,99.3,99.3
ORD-000841,CONS-0684,FARM-0106,Tomato,10.6,1,0.0013,0.104,0.1027,98.8,98.8
ORD-000842,CONS-0204,FARM-0016,Methi,6.9,6,0.005,0.624,0.619,99.2,99.2
ORD-000843,CONS-0653,FARM-0127,Tomato,10.6,3,0.0038,0.312,0.3082,98.8,98.8
ORD-000844,CONS-0789,FARM-0064,Tomato,14.3,8,0.0137,0.832,0.8183,98.4,98.4
ORD-000845,CONS-0627,FARM-0005,Elephant Yam (Suran),13.9,6,0.01,0.624,0.614,98.4,98.4
ORD-000846,CONS-0060,FARM-0144,Brinjal,17.2,8,0.0165,0.832,0.8155,98.0,98.0
ORD-000847,CONS-0221,FARM-0142,Methi,5.1,1,0.0006,0.104,0.1034,99.4,99.4
ORD-000848,CONS-0073,FARM-0046,Methi,22.8,7,0.0192,0.728,0.7088,97.4,97.4
ORD-000849,CONS-0781,FARM-0111,Methi,11.9,8,0.0114,0.832,0.8206,98.6,98.6
ORD-000850,CONS-0757,FARM-0000,Tomato,15.5,7,0.013,0.728,0.715,98.2,98.2
ORD-000851,CONS-0057,FARM-0093,Methi,5.2,6,0.0037,0.624,0.6203,99.4,99.4
ORD-000852,CONS-0726,FARM-0137,Bhindi (Ladies finger),3.0,9,0.0032,0.936,0.9328,99.7,99.7
ORD-000853,CONS-0512,FARM-0005,Onion,4.6,5,0.0028,0.52,0.5172,99.5,99.5
ORD-000854,CONS-0179,FARM-0117,Brinjal,2.6,4,0.0012,0.416,0.4148,99.7,99.7
ORD-000855,CONS-0593,FARM-0025,Tomato,8.2,6,0.0059,0.624,0.6181,99.1,99.1
ORD-000856,CONS-0218,FARM-0089,Bhindi (Ladies finger),30.9,2,0.0074,0.208,0.2006,96.4,96.4
ORD-000857,CONS-0107,FARM-0125,Elephant Yam (Suran),5.9,2,0.0014,0.208,0.2066,99.3,99.3
ORD-000858,CONS-0738,FARM-0142,Methi,12.5,5,0.0075,0.52,0.5125,98.6,98.6
ORD-000859,CONS-0298,FARM-0127,Tomato,9.4,3,0.0034,0.312,0.3086,98.9,98.9
ORD-000860,CONS-0503,FARM-0000,Bhindi (Ladies finger),16.8,8,0.0161,0.832,0.8159,98.1,98.1
ORD-000861,CONS-0552,FARM-0138,Methi,12.9,1,0.0015,0.104,0.1025,98.6,98.6
ORD-000862,CONS-0391,FARM-0121,Methi,11.7,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000863,CONS-0680,FARM-0077,Onion,8.2,3,0.003,0.312,0.309,99.0,99.0
ORD-000864,CONS-0254,FARM-0005,Onion,8.1,4,0.0039,0.416,0.4121,99.1,99.1
ORD-000865,CONS-0465,FARM-0045,Potato,9.5,1,0.0011,0.104,0.1029,98.9,98.9
